"","year","month","snow","tmax","tmin"
"1","2006","01",13,2.2,-2.2
"2","2006","01",38,3.3,-1.1
"3","2006","01",13,-2.2,-8.3
"4","2006","01",25,6.7,-10
"5","2006","01",25,2.2,-7.8
"6","2006","01",25,1.7,-7.8
"7","2006","11",13,7.2,-4.4
"8","2006","11",13,5.6,-9.4
"9","2006","12",13,1.7,-11.7
"10","2007","01",25,2.8,-6.7
"11","2007","01",25,2.8,-8.3
"12","2007","01",25,1.1,-15.6
"13","2007","01",13,-2.2,-7.8
"14","2007","01",38,2.2,-10.6
"15","2007","01",38,-4.4,-18.3
"16","2007","01",25,-1.1,-5.6
"17","2007","01",38,-1.7,-13.9
"18","2007","01",38,-5.6,-15
"19","2007","11",13,3.9,-2.2
"20","2007","11",51,3.3,-1.7
"21","2007","12",64,-5,-8.9
"22","2007","12",25,3.9,-6.1
"23","2007","12",25,-4.4,-13.9
"24","2007","12",38,-3.3,-8.9
"25","2007","12",25,-3.3,-8.3
"26","2007","12",25,2.2,-1.7
"27","2008","01",25,1.1,-8.9
"28","2008","01",25,1.1,-4.4
"29","2008","01",13,-4.4,-14.4
"30","2008","01",25,-5,-10.6
"31","2008","11",13,6.7,-2.2
"32","2008","11",25,5.6,-1.1
"33","2008","11",38,5,-3.9
"34","2008","11",13,3.3,-6.1
"35","2008","11",38,1.1,-9.4
"36","2008","11",38,2.2,-10
"37","2008","11",13,0.6,-8.3
"38","2008","11",13,-2.8,-10.6
"39","2008","11",38,1.7,-5.6
"40","2008","11",13,1.7,-1.7
"41","2008","11",13,1.7,-2.2
"42","2008","12",25,2.2,-7.8
"43","2008","12",8,10.6,-4.4
"44","2008","12",13,3.9,-13.3
"45","2008","12",30,2.2,-6.7
"46","2008","12",25,-3.9,-11.1
"47","2008","12",38,-5,-12.2
"48","2008","12",13,-6.1,-14.4
"49","2008","12",13,-0.6,-14.4
"50","2008","12",13,3.9,-3.9
"51","2008","12",25,1.1,-7.2
"52","2009","01",89,-5.6,-15
"53","2009","01",38,0.6,-11.7
"54","2009","01",13,2.2,-8.3
"55","2009","01",13,-3.3,-11.7
"56","2009","01",25,0.6,-15
"57","2009","01",38,-10,-15.6
"58","2009","01",13,-10.6,-27.2
"59","2009","01",13,-3.3,-10.6
"60","2009","01",13,-6.1,-19.4
"61","2009","01",13,-7.2,-18.9
"62","2009","01",76,-4.4,-11.7
"63","2009","01",25,2.8,-18.3
"64","2009","11",13,5,-1.7
"65","2009","12",13,2.2,-5
"66","2009","12",25,1.1,-6.7
"67","2009","12",13,-2.2,-10
"68","2009","12",13,-5,-10
"69","2009","12",25,3.9,-5
"70","2009","12",25,1.7,-6.1
"71","2009","12",13,2.2,-13.3
"72","2009","12",13,4.4,-3.3
"73","2009","12",38,1.1,-11.1
"74","2010","01",64,1.7,-3.3
"75","2010","01",13,-7.2,-12.8
"76","2010","01",25,-4.4,-9.4
"77","2010","01",38,-0.6,-4.4
"78","2010","01",76,0.6,-12.2
"79","2010","01",13,-7.8,-18.3
"80","2010","01",25,-2.2,-17.8
"81","2010","01",13,1.1,-10
"82","2010","01",25,8.3,-1.1
"83","2010","01",38,2.2,-2.8
"84","2010","01",38,-2.2,-7.2
"85","2010","01",38,-3.9,-13.3
"86","2010","11",13,1.7,-1.7
"87","2010","12",25,14.4,-3.9
"88","2010","12",25,0.6,-5.6
"89","2010","12",25,0.6,-6.1
"90","2010","12",13,-0.6,-6.1
"91","2010","12",8,-2.2,-11.7
"92","2010","12",13,-1.7,-12.8
"93","2010","12",13,-8.3,-12.8
"94","2010","12",8,-4.4,-10
"95","2010","12",5,-1.7,-11.7
"96","2010","12",3,0,-7.2
"97","2010","12",8,-0.6,-5.6
"98","2010","12",3,-3.3,-5
"99","2010","12",25,-2.8,-7.2
"100","2010","12",81,-6.7,-10
"101","2010","12",25,-2.2,-10
"102","2006","01",13,1.1,-3.9
"103","2006","01",13,1.1,-6.7
"104","2006","01",25,12.2,-3.3
"105","2006","01",13,2.8,-4.4
"106","2006","01",13,-3.9,-10
"107","2006","11",13,1.7,-0.6
"108","2006","12",25,-0.6,-7.2
"109","2006","12",25,4.4,-7.8
"110","2006","12",25,-3.3,-11.1
"111","2007","01",25,0.6,-4.4
"112","2007","01",25,7.8,-2.8
"113","2007","01",25,-0.6,-2.8
"114","2007","01",25,-2.8,-10
"115","2007","01",51,0,-2.8
"116","2007","01",25,-3.9,-8.3
"117","2007","01",51,-0.6,-6.1
"118","2007","01",25,-0.6,-5
"119","2007","01",25,-5,-13.9
"120","2007","01",51,-9.4,-16.1
"121","2007","01",13,-3.3,-7.8
"122","2007","01",25,-3.3,-11.7
"123","2007","01",25,-3.3,-11.7
"124","2007","11",51,4.4,-2.2
"125","2007","12",76,1.7,-10
"126","2007","12",76,6.7,-3.9
"127","2007","12",13,-2.8,-7.2
"128","2007","12",13,0.6,-3.3
"129","2007","12",25,2.8,0
"130","2007","12",76,0.6,-4.4
"131","2007","12",25,-3.3,-8.9
"132","2007","12",76,4.4,-1.1
"133","2007","12",38,1.7,-1.1
"134","2008","01",25,-1.1,-10
"135","2008","01",13,-7.2,-16.1
"136","2008","01",76,1.7,-2.8
"137","2008","01",25,0,-3.3
"138","2008","01",13,-2.2,-7.8
"139","2008","01",76,-3.9,-9.4
"140","2008","11",64,-5,-3.3
"141","2008","11",76,3.3,0
"142","2008","12",76,-2.2,-10.6
"143","2008","12",25,-3.3,-12.2
"144","2008","12",25,5,-1.7
"145","2008","12",38,8.3,-4.4
"146","2008","12",13,-2.2,-1.7
"147","2008","12",25,-6.7,-13.9
"148","2008","12",76,-6.7,-8.3
"149","2009","01",25,2.2,-6.1
"150","2009","01",25,-11.7,-16.7
"151","2009","01",25,-1.1,-11.1
"152","2009","01",38,-6.1,-15
"153","2009","01",25,-2.2,-5.6
"154","2009","01",25,-5.6,-12.2
"155","2009","12",51,6.7,0
"156","2009","12",25,6.7,-6.1
"157","2009","12",25,5,-7.8
"158","2009","12",13,-0.6,-8.3
"159","2009","12",25,-2.8,-12.2
"160","2009","12",51,-0.6,-3.9
"161","2009","12",25,3.3,-3.3
"162","2010","01",51,-6.1,-10
"163","2010","01",25,-3.3,-8.3
"164","2010","01",25,-2.2,-2.8
"165","2010","01",51,-4.4,-8.3
"166","2010","01",51,-2.2,-9.4
"167","2010","01",25,-9.4,-13.3
"168","2010","12",51,7.2,-0.6
"169","2010","12",51,0,-2.2
"170","2010","12",51,-1.7,-2.8
"171","2010","12",51,-8.3,-12.2
"172","2010","12",25,-5.6,-12.2
"173","2010","12",25,-2.2,-11.1
"174","2006","01",74,-4.4,-7.2
"175","2006","01",25,0.6,-11.1
"176","2006","01",64,13.9,-10.6
"177","2006","01",51,1.7,-5.6
"178","2006","01",51,1.1,-7.2
"179","2006","01",25,10,1.7
"180","2007","01",3,-4.4,-9.4
"181","2007","12",8,3.9,-5.6
"182","2007","12",8,3.9,-7.8
"183","2007","12",84,-8.3,-11.7
"184","2007","12",28,-0.6,-11.7
"185","2007","12",25,1.7,-8.9
"186","2008","01",91,0.6,-8.3
"187","2008","01",38,3.9,-5
"188","2008","01",15,0,-5
"189","2008","01",8,0.6,-8.9
"190","2008","01",25,1.1,-12.8
"191","2008","01",3,1.7,-10.6
"192","2008","01",3,-2.2,-7.8
"193","2008","12",58,-1.7,-4.4
"194","2008","12",25,-8.9,-11.7
"195","2008","12",64,1.1,-6.7
"196","2009","01",38,1.1,-15.6
"197","2009","01",20,0,-11.7
"198","2009","01",30,1.1,-2.8
"199","2009","01",3,-8.9,-25.6
"200","2009","01",8,-3.3,-8.9
"201","2009","01",97,-2.8,-15.6
"202","2009","01",51,2.2,-7.2
"203","2009","01",8,1.7,-14.4
"204","2009","12",38,5,-2.2
"205","2009","12",41,0.6,-3.9
"206","2010","01",38,-2.2,-4.4
"207","2010","01",23,-4.4,-12.2
"208","2010","01",20,-7.2,-12.2
"209","2010","01",81,5.6,-6.7
"210","2010","01",5,6.1,-1.1
"211","2010","01",25,1.1,-14.4
"212","2010","12",3,-6.1,-10
"213","2006","01",13,1.7,-1.1
"214","2006","01",13,1.7,0.6
"215","2006","01",25,-1.7,-5.6
"216","2006","01",51,-5.6,-11.1
"217","2006","01",25,-1.7,-3.9
"218","2006","01",13,5.6,-5.6
"219","2006","01",20,3.9,-2.2
"220","2006","01",38,0,-10.6
"221","2006","01",13,-5,-15
"222","2006","11",64,2.2,-3.3
"223","2006","12",25,3.3,-6.1
"224","2006","12",38,-2.8,-8.3
"225","2006","12",13,6.1,-2.2
"226","2006","12",38,-1.1,-14.4
"227","2006","12",13,-6.7,-8.9
"228","2006","12",38,2.8,0.6
"229","2006","12",25,1.7,-3.3
"230","2007","01",51,4.4,-6.1
"231","2007","01",76,-0.6,-8.3
"232","2007","01",13,-3.9,-14.4
"233","2007","01",8,3.3,-0.6
"234","2007","01",13,11.7,-6.7
"235","2007","01",25,-5,-13.9
"236","2007","01",25,0.6,-6.7
"237","2007","01",76,-1.1,-9.4
"238","2007","01",20,-5,-8.3
"239","2007","01",38,-2.2,-6.7
"240","2007","01",25,-1.1,-5
"241","2007","01",25,-3.3,-15
"242","2007","01",25,-3.9,-14.4
"243","2007","01",25,-8.3,-21.1
"244","2007","01",20,-6.7,-12.8
"245","2007","01",13,1.7,-5.6
"246","2007","01",38,0.6,-13.9
"247","2007","01",25,-7.2,-15.6
"248","2007","01",46,-3.9,-11.7
"249","2007","11",13,5.6,0
"250","2007","11",38,3.3,0
"251","2007","11",13,6.1,-1.1
"252","2007","11",25,1.1,-2.2
"253","2007","11",25,1.1,-1.7
"254","2007","11",13,1.1,-1.7
"255","2007","11",13,4.4,-7.2
"256","2007","11",13,6.1,-2.2
"257","2007","11",20,2.2,-8.9
"258","2007","12",51,5,-5
"259","2007","12",76,0.6,-7.2
"260","2007","12",38,-3.3,-9.4
"261","2007","12",25,-6.1,-17.8
"262","2007","12",13,-5.6,-12.8
"263","2007","12",13,1.1,-3.9
"264","2007","12",51,2.2,-1.7
"265","2007","12",89,0,-11.1
"266","2007","12",64,-2.2,-12.2
"267","2007","12",13,1.7,-11.1
"268","2007","12",8,1.1,-1.1
"269","2007","12",64,0,-2.2
"270","2007","12",33,1.7,-6.1
"271","2008","01",13,2.2,-1.7
"272","2008","01",25,-1.1,-4.4
"273","2008","01",25,1.1,-8.9
"274","2008","01",38,-5.6,-16.7
"275","2008","01",8,-11.1,-15.6
"276","2008","01",38,-1.1,-11.1
"277","2008","01",51,-2.8,-10
"278","2008","01",8,-1.7,-5
"279","2008","11",51,5.6,-1.1
"280","2008","11",25,0,-1.1
"281","2008","11",25,1.7,-8.9
"282","2008","11",25,-0.6,-13.3
"283","2008","11",25,-1.7,-5.6
"284","2008","11",13,-0.6,-10.6
"285","2008","11",8,-6.1,-13.3
"286","2008","11",33,-3.3,-9.4
"287","2008","11",64,2.8,-1.1
"288","2008","11",76,2.8,-7.8
"289","2008","11",13,0.6,-5
"290","2008","11",51,2.2,-2.2
"291","2008","11",8,1.1,-11.1
